DOEID,Census Region,Census Division,Final sample weight,"Heating degree days in 2009, base temperature 65F","Cooling degree days in 2009, base temperature 65F","Total Site Electricity usage, in kilowatt-hours, 2009","Total Site Electricity usage, in thousand BTU, 2009","Total Natural Gas usage, in hundred cubic feet, 2009","Total Natural Gas usage, in thousand BTU, 2009","Natural Gas usage for water heating, in thousand BTU, 2009","Natural Gas usage for space heating, in thousand BTU, 2009","Natural gas usage for cooking (stoves, cooktops, and ovens), in thousand Btu, 2015","Natural gas usage for clothes dryers, in thousand Btu, 2015","Natural gas usage for swimming pool heaters, in thousand Btu, 2015","Natural gas usage for hot tub heaters, in thousand Btu, 2015","Natural gas usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015","Electricity usage for space heating, main and secondary, in thousand Btu, 2015","Electricity usage for air conditioning (central systems and individual units), in thousand Btu, 2015","Electricity usage for water heating, main and secondary, in thousand Btu, 2015","Electricity usage for all refrigerators, in thousand Btu, 2015","Electricity usage for freezers, in thousand Btu, 2015","Electricity usage for cooking (stoves, cooktops, and ovens), in thousand Btu, 2015","Electricity usage for microwaves, in thousand Btu, 2015","Electricity usage for clothes washers, in thousand Btu, 2015","Electricity usage for clothes dryers, in thousand Btu, 2015","Electricity usage for dishwashers, in thousand Btu, 2015","Electricity usage for indoor and outdoor lighting, in thousand Btu, 2015","Electricity usage for all televisions and related peripherals, in thousand Btu, 2015","Electricity usage for air handlers and boiler pumps used for heating, in thousand Btu, 2015","Electricity usage for air handlers used for cooling, in thousand Btu, 2015","Electricity usage for evaporative coolers, in thousand Btu, 2015","Electricity usage for ceiling fans, in thousand Btu, 2015","Electricity usage for dehumidifiers, in thousand Btu, 2015","Electricity usage for humidifiers, in thousand Btu, 2015","Electricity usage for swimming pool pumps, in thousand Btu, 2015","Electricity usage for hot tub pumps, in thousand Btu, 2015","Electricity usage for hot tub heaters, in thousand Btu, 2015","Electricity usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015"
11937,2,3,35245.65977,5651,993,6759,23062,150.572,15195.39,13200.673,0,1994.716,0,0,0,0,10726.502,1083.88,0,1900.017,0,0,531.122,221.108,2257.13,228.089,1207.766,2765.081,0,48.208,0,0,0,0,0,0,0,2092.801
11938,3,7,30268.95863,1641,2904,10831.529,36957.178,277.383,28305.455,11259.256,17046.199,0,0,0,0,0,0,21010.232,0,3803.542,0,1777.081,140.192,178.408,1826.541,341.452,1135.582,1542.885,452.362,999.853,0,1628.233,0,0,0,0,0,2120.816
11939,2,3,17299.48178,5969,794,7479.257,25519.224,1215.935,122121.961,24106.761,91417.207,6597.993,0,0,0,0,0,1799.654,0,2320.11,0,0,222.576,511.961,5184.172,508.567,2273.899,4094.273,856.148,96.253,0,751.393,1490.813,637.726,0,0,0,4771.68
11940,3,7,8236.892033,1464,3406,5803.822,19802.641,109.396,11225.85,0,11011.506,214.344,0,0,0,0,0,6628.972,3828.631,1615.007,0,0,674.915,96.809,561.57,0,999.565,3289.902,190.876,322.153,0,0,0,0,0,0,0,1594.24
11941,3,5,20097.17406,2809,1831,8840.067,30162.307,0,0,0,0,0,0,0,0,0,8484.243,5970.417,4867.082,1784.937,0,341.8,235.621,146.386,1650.007,0,263.247,2210.978,142.227,291.05,0,0,0,1655.171,0,0,0,2119.139
11942,4,9,17896.43602,1663,4165,14316.649,48848.407,360.838,35121.966,19172.102,11898.447,4051.417,0,0,0,0,0,20249.521,0,2639.097,0,0,724.258,0,0,0,1109.042,2833.98,480.178,951.422,0,0,0,0,0,0,0,19860.911
11943,4,10,13255.98804,2266,1545,5203.466,17754.226,310.541,32034.19,0,32034.19,0,0,0,0,0,0,3955.475,4858.598,1621.225,0,283.858,67.151,145.41,1639.516,0,2793.417,704.366,498.188,199.458,0,0,0,0,0,0,0,987.563
11944,2,3,11816.41772,5279,1059,4040.187,13785.116,0,0,0,0,0,0,0,0,0,8278.553,768.515,0,1857.441,0,270.379,66.231,0,0,128.67,324.57,302.561,130.722,32.028,0,0,0,0,0,0,0,1625.447
11945,3,7,15313.51771,2782,2386,6224.613,21238.379,0,0,0,0,0,0,0,0,0,3093.626,888.592,3466.568,1247.002,887.017,505.656,764.366,128.89,1335.576,0,1226.822,2212.903,0,0,0,397.814,1684.494,466.033,0,0,0,2933.02
11946,3,5,40016.91011,2628,1947,11001.279,37536.364,0,0,0,0,0,0,0,0,0,13606.106,6010.563,5134.552,1838.772,0,450.778,166.747,0,0,519.828,5711.327,2180.586,0,287.549,0,104.881,0,0,0,0,0,1524.676
11947,2,4,11609.53047,7736,591,4371.727,14916.333,856.131,80647.177,10442.72,70204.456,0,0,0,0,0,0,2466.241,0,2996.118,0,0,0,0,0,0,1943.411,0,258.207,86.456,0,0,0,0,0,0,0,7165.899
11948,4,10,11588.43215,2011,447,4809.788,16410.996,288.215,29735.656,12859.299,16876.357,0,0,0,0,0,0,0,0,908.917,0,858.513,411.879,134.463,1721.361,330.542,2323.337,3941.247,352.259,0,0,2574.627,0,0,0,0,0,2853.852
11949,2,3,24133.14211,5354,1234,2585.59,8822.032,248.937,24728.87,8980.387,13319.165,2429.318,0,0,0,0,0,0,0,1957.335,0,0,134.591,0,0,0,575.194,0,130.112,0,0,0,0,0,0,0,0,6024.799
11950,3,7,23441.45446,1612,3097,11183.166,38156.963,0,0,0,0,0,0,0,0,0,4994.639,8724.626,8054.646,2375.304,894.918,1084.623,400.829,26.609,556.652,0,4796.234,2651.061,98.323,532.501,0,1613.984,0,0,0,0,0,1352.014
11951,1,2,23991.29,5366,1024,21313.7,72722.344,0,0,0,0,0,0,0,0,0,27594.137,3964.077,16348.51,2596.127,905.176,1402.184,1019.585,265.03,3368.507,326.451,3186.601,4008.537,803.043,235.985,0,746.141,0,0,4091.194,0,0,1861.059
11952,3,5,23483.57577,2591,1984,6698.086,22853.87,391.72,38720.696,14068.226,24652.471,0,0,0,0,0,0,9072.178,0,2064.167,0,826.726,70.399,93.324,1891.513,230.965,4576.885,364.373,551.298,0,0,1352.198,0,0,0,0,0,1759.845
11953,3,5,15529.73634,3194,1837,14563.607,49691.027,0,0,0,0,0,0,0,0,0,12633.768,3240.583,15664.875,1781.3,0,513.721,699.089,244.837,2744.42,637.622,6430.393,1328.985,210.588,142.803,0,1063.439,0,151.641,0,0,0,2202.963
11954,3,5,14639.37694,582,4541,10396.194,35471.812,0,0,0,0,0,0,0,0,0,3394.979,12265.48,7411.846,3969.88,0,555.965,237.579,132.295,1693.836,0,463.171,789.658,25.838,566.258,0,1576.286,0,0,0,0,0,2388.742
11955,4,10,18470.99954,1052,1047,3227.132,11010.974,307.438,31837.434,16034.181,0,11453.413,4349.839,0,0,0,0,0,0,983.461,1556.087,1930.838,0,269.532,0,586.11,832.301,4060.431,0,0,0,0,0,0,0,0,0,792.214
11956,2,3,15341.77776,6919,432,8231.769,28086.797,1092.742,110190.495,31819.513,77324.85,0,0,0,0,1046.132,0,2371.133,0,3893.797,1577.193,430.949,691.706,136.42,1745.289,329.338,6081.97,361.413,2265.507,144.361,0,0,628.356,3171.478,0,0,0,4257.889
11957,2,3,15283.96376,6298,713,6770,23098,1184.884,118942.037,17437.561,98368.673,840.789,2295.015,0,0,0,0,3154.998,0,2591.881,0,0,340.084,219.781,0,215.116,2440.198,4416.564,1813.079,178.519,0,951.614,1844.988,1660.808,0,0,0,3271.613
11958,3,5,23421.88917,884,3018,8778.031,29950.641,123.989,12679.691,4943.117,6506.204,1230.37,0,0,0,0,0,17079.152,0,814.448,0,0,673.697,324.172,2751.875,127.546,2602.899,1252.546,248.163,890.867,0,848.233,0,0,0,0,0,2337.043
11959,4,10,21540.25738,9,4845,9207,31413,115.127,11894.603,10870.605,0,0,0,0,0,1023.999,0,13075.971,0,744.048,0,993.469,1722.507,594.22,6023.797,0,5541.214,657.663,0,583.06,0,0,0,0,0,0,0,1478.331
