Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Cooking or Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Light Use (Estimated) in Thousands of BTU 
1993,1,2,0,2,21099,1107,4947,6158,21011,1157,118940,0,81011,0,32754,12806,5175,5317,2888,0,1195,0,0,2274
1993,2,4,0,2,4617,1072,5717,13845,47239,0,0,13604,0,8591,0,14172,0,5394,5478,0,891,0,1654,3458
1993,2,3,0,2,15412,400,8250,5946,20288,1447,148752,0,148752,6520,0,10069,0,1903,1796,2280,785,0,1784,1156
1993,3,5,0,2,13927,1720,3594,6675,22775,2245,230786,0,161831,0,68955,17796,0,0,4979,0,1628,0,2191,1617
1993,4,8,0,1,14116,157,8401,7763,26487,1420,145976,0,122686,0,18995,22174,4295,0,4313,3611,0,0,2783,4573
1993,4,9,2,2,17755,1549,808,6268,21388,439,45161,0,17012,0,21122,8764,7027,0,12624,0,0,0,0,1080
1993,4,9,2,5,5139,1495,2373,4388,14972,325,33410,0,13774,0,19636,10756,0,2269,1947,2290,743,844,0,2571
1993,2,3,0,4,23786,720,6750,5714,19496,2739,281569,0,201238,0,63489,10154,16842,4847,4495,0,0,0,0,2876
1993,1,2,1,4,18105,687,6724,1925,6568,1266,130145,591,95262,0,28197,3729,6686,677,1571,0,0,0,1063,847
1993,1,2,1,5,15497,1213,4809,1927,6575,40,4112,0,0,0,0,4531,4112,0,2044,0,0,0,0,1475
1993,3,6,0,5,16479,1526,3602,9488,32373,0,0,6729,0,6406,0,10454,0,5413,3371,5210,640,0,0,1402
1993,4,8,0,5,9736,4393,856,2841,9693,141,14496,0,4129,0,10367,3568,0,3430,2695,0,331,218,0,1473
1993,3,5,4,2,9844,3507,519,28725,98010,0,0,8990,0,11321,0,47258,0,18173,12268,9838,3284,2984,4778,6662
1993,4,9,2,2,7770,354,3116,3675,12539,0,0,1146,0,0,0,7737,0,0,3656,0,0,421,0,1558
1993,3,5,0,2,19943,1945,3014,27312,93189,0,0,26606,0,16818,0,27388,0,18256,4121,0,4381,607,3724,4329
1993,4,9,2,4,8435,1477,1185,3868,13198,561,57671,0,0,0,43024,7155,14647,0,6043,0,0,0,0,1332
1993,4,8,0,4,10241,4695,800,2238,7636,166,17065,0,7357,0,7354,2072,2354,3686,1878,0,0,0,0,585
1993,3,5,0,2,4206,2492,2473,13455,45908,681,70007,0,39432,0,23998,23898,6577,8973,13037,4483,0,519,2530,5574
1993,4,9,0,4,27106,83,5255,6405,21854,0,0,10761,0,3338,0,5585,0,0,2170,0,454,299,1460,875
1993,3,6,0,2,3952,1208,4512,12986,44308,0,0,0,0,14850,0,25660,0,0,3798,0,4209,0,5305,4106
1993,2,3,0,4,15132,942,5964,4312,14713,3365,345922,0,267123,0,59746,10476,19053,0,4237,1747,0,0,1194,2118
1993,2,4,0,2,3719,1166,5552,7048,24048,0,0,0,0,0,0,13683,0,5720,4645,0,758,353,2165,2601
1993,1,2,1,2,10853,1033,5224,10250,34972,0,0,0,0,9938,0,20533,0,0,4501,2581,1113,367,2246,1983
1993,3,7,3,1,17814,1510,4001,10707,36532,760,78128,0,46382,0,25426,15688,6320,15918,4926,0,0,1136,2277,6212
1993,1,1,0,2,3962,554,6066,7606,25952,0,0,0,0,0,0,19939,0,0,6013,0,1055,2494,2399,4048
1993,1,2,1,2,4982,663,7008,10077,34383,1138,116986,0,83135,0,33851,29212,0,0,5171,2906,3110,2190,2644,5926
1993,4,9,2,2,8993,262,2151,4818,16439,491,50475,0,23053,0,21364,12943,6058,0,3496,1890,0,0,0,3203
1993,2,3,0,5,4719,942,5580,9247,31551,681,70007,0,39264,0,24683,23583,6060,3282,4686,0,0,481,2950,4861
1993,3,7,3,5,23506,3006,1252,4121,14061,0,0,2011,0,2004,0,3168,0,3744,3134,0,361,0,0,1514
1993,2,3,0,4,25443,423,7848,5945,20285,805,82715,0,82715,6227,0,11310,0,442,2306,0,916,0,2134,1603
1993,4,8,0,1,14582,1916,2622,7796,26601,243,24959,0,21158,6634,0,7085,3801,9498,3384,0,0,0,1894,773
1993,2,3,0,2,23952,642,6173,7843,26760,1534,157695,0,98093,0,44506,22041,15096,0,4719,0,0,0,0,5245
1993,4,8,0,2,6782,292,7467,10111,34499,868,89230,0,54828,0,34402,31725,0,0,2774,4276,3640,564,2755,2958
1993,3,5,0,3,33245,1703,4237,2130,7268,713,73296,0,59727,0,10258,4217,3311,1263,1788,0,0,0,1023,1393
1993,1,2,0,3,12045,769,6380,12956,44205,0,0,19529,0,9123,0,10843,0,2649,2061,0,914,0,1698,1008
1993,4,8,0,5,10013,4350,864,9761,33305,0,0,4515,0,4440,0,13510,0,6076,4764,0,1803,559,2728,3595
1993,4,8,0,2,13292,374,7151,3336,11382,1263,129836,903,100028,0,29045,8846,763,0,1633,0,713,810,0,1876
1993,3,5,0,2,18212,1531,3757,16855,57509,436,44821,0,44821,19502,0,22549,0,10817,4641,0,2247,0,0,2929
1993,2,4,0,4,9198,566,7945,3973,13556,1305,134154,0,111597,0,17254,7678,5303,0,5878,0,0,0,0,1785
1993,1,2,0,2,21099,935,5846,5851,19964,505,51914,0,37430,0,9993,12348,4491,3983,3633,0,0,380,0,4624
1993,2,4,0,4,14302,572,7688,6194,21134,493,50641,969,50641,7637,0,7689,0,2317,2522,0,765,0,1742,1552
1993,2,4,0,5,16705,1108,5927,7971,27197,1250,128500,0,71133,0,57367,17215,0,6046,3936,0,1313,1217,0,6646
1993,4,9,0,2,11557,144,7438,18037,61542,0,0,28963,0,8445,0,18725,0,537,4872,2190,1974,0,2652,2972
1993,3,5,4,2,20831,2729,1361,18299,62436,0,0,8450,0,11641,0,23374,0,15001,3970,0,1430,421,3425,3191
1993,3,6,0,2,13039,1480,4159,32016,109239,0,0,30634,0,17291,0,38467,0,15129,7718,6161,1950,0,3135,5990
1993,2,3,0,1,18574,879,6165,12162,41497,0,0,1103,0,12292,0,17293,0,7075,3734,2785,1067,0,5694,1111
1993,2,3,0,1,18574,781,6331,10083,34403,0,0,0,0,0,0,29148,0,0,5255,0,0,0,5801,5965
1993,4,9,0,2,21516,204,4790,8459,28862,0,0,1020,0,7990,0,15030,0,976,3846,0,2098,376,2302,3212
1993,3,6,0,1,14790,2546,1622,6447,21996,0,0,4987,0,4037,0,11018,0,0,1954,0,1192,261,1601,2751
1993,3,5,0,2,14276,661,5413,10689,36471,0,0,4622,0,9433,0,18135,0,0,4281,0,1034,0,2953,2292
1993,3,7,3,2,9417,1672,3921,4258,14528,1156,118837,0,76871,0,32056,9591,9910,2400,2537,0,0,411,0,2816
1993,1,1,0,2,8326,615,5951,4438,15142,0,0,0,0,3597,0,9159,0,0,2386,0,689,0,2217,1727
1993,2,3,0,2,19952,428,8052,6530,22280,1178,121098,0,86644,0,34454,17262,0,963,4055,0,1137,0,3045,2977
1993,2,3,0,2,3869,750,6415,13489,46024,0,0,0,0,0,0,30396,0,11938,3690,3184,0,0,0,5095
1993,2,3,0,3,5280,743,6545,5314,18131,914,93959,0,60322,0,24851,10790,8786,4346,2995,0,0,377,0,3802
1993,3,7,3,2,21002,2819,2560,23695,80847,0,0,16366,0,15349,0,30561,0,13545,5026,5415,1514,1215,4055,6246
1993,4,8,0,2,12332,598,6122,3316,11314,814,83679,0,73369,0,10310,8682,0,0,2632,0,1275,0,1931,785
1993,1,1,0,2,13499,478,7831,3906,13327,0,0,0,0,0,0,11861,0,0,1466,1860,1340,715,1800,1371
1993,4,9,2,5,4387,1104,1373,2250,7678,583,59894,1541,0,0,44693,3917,15201,1232,988,0,0,0,0,584
1993,1,2,1,5,21891,1167,4841,2379,8117,32,3255,0,0,0,0,5163,3255,1786,1168,0,0,369,0,1215
1993,3,5,4,2,5009,2484,1488,17896,61061,0,0,9428,0,11275,0,24561,0,11310,4487,0,1446,1160,2918,2053
1993,2,4,0,2,19690,737,7217,21034,71768,1409,144845,0,107138,0,37707,51753,0,10893,9122,6780,2961,0,7926,8346
1993,2,4,0,2,8643,1531,4955,4652,15871,1541,158415,0,97423,0,48797,12158,12195,0,3713,0,0,0,0,2153
1993,4,9,0,5,8658,82,5333,14779,50426,0,0,15554,0,16147,0,15500,0,0,3225,0,3843,0,0,2889
1993,4,9,0,2,5863,144,7540,40684,138814,0,0,11367,0,29714,0,88010,0,0,9723,8482,2544,1184,7262,15093
1993,3,7,3,2,17814,2470,1895,14292,48764,507,52120,0,28826,0,17117,28171,6177,12921,7672,6425,0,0,0,7999
1993,1,2,0,2,20969,602,6344,28265,96440,0,0,42116,0,19745,0,30189,0,1187,3203,0,3469,0,3031,4134
1993,4,9,2,2,17755,1513,1355,8987,30664,587,60344,0,36289,0,16401,19728,7654,0,10936,5167,0,0,0,4406
1993,2,4,0,2,10552,395,8826,11660,39784,1781,183087,0,134846,0,39374,30313,8867,0,9471,4316,0,599,8394,3468
1993,4,9,0,5,8519,104,4836,5325,18168,0,0,6852,0,4233,0,4154,0,0,2929,0,1263,0,0,809
1993,2,3,0,5,37044,827,6070,3852,13143,681,70033,0,42550,0,27483,7820,0,2961,2362,0,929,0,0,3517
1993,3,7,3,5,9383,2988,2358,15538,53014,0,0,7100,0,13836,0,13202,0,12768,6108,0,4153,0,0,1411
