Unique identifier for each respondent,Census Region,Census Division,Reportable states and groups of states,Type of housing unit,Final sample weight,"Heating degree days in 2009, base temperature 65F","Cooling degree days in 2009, base temperature 65F","Total Site Electricity usage, in kilowatt-hours, 2009","Total Site Electricity usage, in thousand BTU, 2009","Total Natural Gas usage, in hundred cubic feet, 2009","Total Natural Gas usage, in thousand BTU, 2009","Electricity usage for other purposes (all end-uses except SPH, COL, WTH, and RFG), in thousand BTU, 2009","Electricity usage for refrigerators, in thousand BTU, 2009","Electricity usage for air-conditioning, central and window/wall (room), in thousand BTU, 2009","Electricity usage for water heating, in thousand BTU, 2009","Electricity usage for space heating, in thousand BTU, 2009","Natural Gas usage for other purposes (all end-uses except SPH and WTH), in thousand BTU, 2009","Natural Gas usage for water heating, in thousand BTU, 2009","Natural Gas usage for space heating, in thousand BTU, 2009"
84,2,4,12,4,4124.85,4853,1144,20840,71106,0,0,23790.69,5251.25,6207.65,11307.44,24548.98,0,0,0
85,3,6,18,4,9419.69,3829,1423,7508,25617,516,52890,8354.35,2883.23,2102.31,5358.5,6918.61,52890,0,0
86,4,10,27,2,7951.52,49,4209,4118,14051,175,17938,8546.22,1054.29,4450.48,0,0,7001.42,10936.58,0
87,4,8,22,2,4357.04,7761,37,15542,53029,0,0,37156.54,3255.06,0,10121.35,2496.06,0,0,0
88,4,10,26,2,7305.68,2658,1780,26876,91701,889,91123,52891.89,10935.54,27873.57,0,0,19188.3,28054.72,43879.98
89,3,7,21,2,7577.54,2268,2532,18628,63559,586,60065,28722.15,5384.61,19601.46,9850.79,0,0,0,60065
90,2,3,7,2,14727.35,6499,382,7954,27139,1252,128330,21189.42,4261.84,1687.74,0,0,6806.11,25943.76,95580.13
91,3,7,21,5,7607.15,2267,2534,6727,22953,329,33723,10369.93,3479.22,9103.85,0,0,1267.89,9589.01,22866.11
92,4,10,26,1,9663.48,3707,1016,2624,8953,0,0,4539.5,1570.68,997.2,0,1845.61,0,0,0
93,1,2,5,3,11849.23,4287,1324,7383,25191,687,70418,16223.81,3367.8,4529.31,0,1069.79,14402.01,13260.89,42755.11
94,1,2,3,5,7401.14,4906,875,1815,6193,0,0,1922.52,883.28,324.03,0,3062.88,0,0,0
95,3,5,16,2,14918.45,3346,1317,13292,45352,0,0,16913.41,6264.3,5715.41,7561.75,8897.14,0,0,0
96,2,4,12,2,2778.26,4194,1528,5453,18606,1130,115825,12218.51,2048.5,4338.52,0,0,0,35572.34,80252.66
97,4,8,23,2,11330.03,7878,323,16240,55411,1887,193418,44337.24,9027.94,2045.82,0,0,8812.16,42769.82,141836.01
98,1,2,3,4,7553.73,4706,893,6729,22959,1254,128535,16132.05,2989.06,3837.89,0,0,25008.08,37365.9,66161.02
99,3,6,19,1,15636.59,3861,1439,10354,35328,471,48278,17945.17,8869.46,8513.37,0,0,0,17261.11,31016.89
100,4,10,26,3,2767.96,1211,910,4847,16538,167,17118,11168.81,3787.53,1581.66,0,0,3404.44,7031.21,6682.35
101,3,7,21,2,7133.12,2082,2774,18563,63337,0,0,27067.83,4213.68,15085.22,7921.38,9048.89,0,0,0
102,2,4,12,2,2599.86,5300,968,22836,77916,0,0,37253.12,4182.02,5826.14,12353.14,18301.58,0,0,0
103,2,4,12,2,2778.26,4824,1153,9660,32960,715,73288,15600.92,6639.34,4505.57,6214.17,0,6258.13,0,67029.88
104,1,2,4,2,15489.56,4885,787,4148,14153,1641,168203,10664.82,2055.78,1432.4,0,0,14226.33,41632.48,112344.19
105,3,5,16,1,13964.37,4177,1251,12458,42507,0,0,22341.25,1974.63,4296.26,5903.27,7991.59,0,0,0
106,4,10,26,2,7169.31,1108,1226,2771,9454,280,28700,5775.35,2512.74,0,0,1166.38,7835.72,12317.41,8546.88
107,1,2,3,2,7559.64,6939,281,6719,22925,631,64678,19060.53,3151.48,713,0,0,8426.53,14934.14,41317.33
108,3,6,19,2,8620.52,3353,1621,8052,27473,761,78003,18632.8,3106.01,0,5734.66,0,0,0,78003
109,3,6,19,5,13382.14,3591,1403,8240,28115,0,0,8180.39,2001.09,1780.08,7459.14,8694.31,0,0,0
110,2,4,10,5,5067.91,8621,318,4069,13883,763,78208,8393.03,4845.42,644.56,0,0,4027.76,10153.98,64026.26
111,4,10,26,5,10168.07,2796,130,3164,10796,61,6253,3784.66,1546.5,0,0,5464.84,0,6253,0
112,1,2,3,5,13371.72,4832,853,1243,4241,35,3588,3226.91,710.15,303.94,0,0,3588,0,0
113,2,3,8,2,15376.07,6941,390,22494,76750,586,60065,64327.34,11652.32,770.34,0,0,5071.38,11546.58,43447.05
114,4,10,27,2,11795.05,5132,322,6851,23376,786,80565,19144.79,4075.3,155.91,0,0,0,22230.94,58334.06
