Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU
2005,1,1,0,2,5718.015345,6072,801,2037,6951,1662,171002,1828,0,0,1790,510,0,0,4651,5135,25783,140084
2005,1,2,1,5,38121.12253,5493,1135,4238,14460,999999,9999999,0,0,0,920,1005,3261,5340,3934,9999999,9999999,9999999
2005,4,8,0,1,24298.78799,9234,0,7102,24232,559,57521,0,629,5463,6134,10,0,0,18088,6326,9972,41223
2005,1,1,0,3,12484.78696,7417,527,6187,21110,284,29224,1872,0,0,3211,0,0,0,17899,0,29224,0
2005,4,9,2,2,25955.15655,1665,1482,6840,23338,419,43115,0,523,0,5406,6493,0,2584,8855,3016,23932,16167
2005,2,3,0,3,7951.976735,5648,1075,2158,7363,774,79640,0,0,0,1146,1884,2198,0,2135,4773,0,74867
2005,3,6,0,2,19117.75104,3366,1876,8151,27811,961,98887,5817,0,0,4381,6138,0,0,17292,6231,29460,63196
2005,2,3,0,2,27167.25961,5742,982,9466,32298,449,46206,3670,0,0,3593,6815,0,0,21890,0,13400,32806
2005,1,2,1,2,5236.525834,5597,1035,5899,20127,595,61224,0,0,0,4226,0,0,0,15901,0,15876,45348
2005,1,2,0,2,28107.32949,5241,1441,11642,39723,1376,141590,0,1231,0,3143,12493,0,0,24087,19034,30716,91840
